room_type,minimum_nights,calculated_host_listings_count,availability_365,price
0.0,0.14285714285714285,0.0,0.6356164383561644,60
0.0,0.03571428571428571,0.0,0.20273972602739726,45
0.5,0.5,0.0,0.0,159
0.5,0.07142857142857142,0.003067484662576687,0.7013698630136986,193
0.0,0.10714285714285714,0.0,0.0,60
0.5,0.14285714285714285,0.003067484662576687,0.0,189
0.0,0.03571428571428571,0.0,0.7013698630136986,125
0.5,0.07142857142857142,0.003067484662576687,0.6986301369863014,115
0.0,0.03571428571428571,0.0,0.0,84
0.5,0.03571428571428571,0.0,0.0,125
0.5,0.03571428571428571,1.0,0.8493150684931506,404
0.0,0.0,0.0,0.6547945205479452,90
0.0,0.0,0.0,0.21643835616438356,59
0.0,0.0,0.0,0.0,80
0.5,0.10714285714285714,0.0,0.0,165
0.0,0.03571428571428571,0.0,0.0,199
0.5,0.0,0.0,1.0,165
0.5,0.07142857142857142,0.0,0.915068493150685,400
0.5,0.07142857142857142,0.0,0.12876712328767123,195
0.0,0.9999999999999999,0.11042944785276074,0.08767123287671233,33
0.5,0.07142857142857142,0.0,0.0,175
0.5,0.03571428571428571,0.0,0.0,110
0.5,0.03571428571428571,0.0,0.0,200
0.0,0.03571428571428571,0.003067484662576687,0.9452054794520548,100
0.0,0.2142857142857143,0.0,0.0958904109589041,55
0.5,0.07142857142857142,0.003067484662576687,0.7178082191780822,180
0.0,0.10714285714285714,0.0,0.03287671232876713,108
0.5,0.07142857142857142,0.0,0.008219178082191782,150
1.0,0.4642857142857143,0.08282208588957056,0.8794520547945206,35
0.0,0.0,0.006134969325153375,0.9972602739726028,65
0.0,0.03571428571428571,0.006134969325153375,0.10410958904109589,55
0.5,0.4642857142857143,0.0,0.0,225
0.5,0.0,0.0,0.5150684931506849,225
0.5,0.0,0.0,0.21095890410958903,215
0.0,0.0,0.0,0.12328767123287672,60
0.0,0.03571428571428571,0.0,0.0,100
0.0,0.10714285714285714,0.0,0.0,68
0.0,0.25,0.0,0.0,42
0.5,0.03571428571428571,0.003067484662576687,0.263013698630137,131
0.0,0.14285714285714285,0.0,0.03287671232876713,50
0.5,0.03571428571428571,0.0,0.4931506849315069,100
0.5,0.10714285714285714,0.0,0.0273972602739726,120
0.0,0.0,0.0,0.0,97
0.5,0.07142857142857142,0.0,0.016438356164383564,316
0.5,0.3214285714285714,0.003067484662576687,0.5917808219178082,240
0.0,0.14285714285714285,0.015337423312883437,0.03287671232876713,49
